$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 27, 2025 19:38:50

*RUN   1        : 0 KG N/HA DRY             CSCER048 SWSW7501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : SWSW7501 WH N RESPONSE,SWIFT CURRENT  7FE(N)*2IR  (DSSAT3)
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : 0 KG N/HA DRY             CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 1975 145    13     0   6.5  -6.0  0.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    71     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   250   -99  0.03  0.00   3.6  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.35  0.50  0.00
 1975 146    14     1   7.5  -6.0  3.25  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    71     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   250   -99  0.03  0.00   3.6  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.25  0.50  0.00
 1975 147    15     2   8.0  -6.0  5.73  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    71     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   250   -99  0.03  0.00   3.7  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.20  0.50  0.00
 1975 148    16     3   8.5  -6.0  7.29  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    70     1     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   250   -99  0.04  0.00   4.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.15  0.45  0.00
 1975 149    17     4   8.5  -6.0  8.85  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    70     1     0     0     0     0  0.00     0     0     0     0     0 .0003   0.0     0     0   250   -99  0.06  0.00   5.1  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.15  0.40  0.00
 1975 150    18     5  12.5  -6.0 10.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    71    69     2     0     0     0     0  0.00     0     0     0     0     0 .0011   0.0     0     0   250   -99  0.07  0.00   6.8  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.38  0.00
 1975 151    19     6  12.0  -6.0 10.25  0.25  0.02  0.00   0.0  0.02 0.002  0.02    71    59     3     9     6     3     0  0.00     0     0     0     0     0 .0024   0.0     0     0   250   300  0.09  0.75   9.4  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.1  0.00  0.00  0.36  0.00
 1975 152    20     7  12.0  -6.0 10.49  0.49  0.03  2.70   4.6  0.04 0.004  0.04    75    49     4    22    12    10     0  0.00     0     0     3     0     0 .0043  15.8     0     0   250   298  0.11  0.76  11.1  99.9  1.61  0.00  0.00  0.00  0.00  0.00  0.00   0.1  0.00  0.00  0.34  0.00
 1975 153    21     8  15.5  -6.0 10.81  0.81  0.04  1.93   8.7  0.05 0.006  0.06    83    42     6    35    17    18     0  0.00     0     0    10     0     0 .0075  28.0     0     0   250   297  0.13  0.73  12.7  75.7  0.72  0.57  0.28  0.45  0.00  0.00  0.00   0.2  0.00  0.00  0.34  0.00
 1975 154    22     9  13.5  -6.0 11.09  1.09  0.06  2.43   3.8  0.07 0.008  0.08    86    32     7    47    23    24     0  0.00     0     0    12     0     0 .0112  26.4     0     0   250   297  0.15  0.75  21.6  99.9  3.00  0.00  0.00  0.00  0.10  0.10  0.10   0.1  0.00  0.00  0.33  0.00
